"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.203485552E1,8.681905270E-2,1.725728363E-1,4.410194755E-1
2.228519121E1,-2.029328793E-1,-2.135855258E-1,1.005077004E0
2.253552690E1,1.438107044E-1,-1.608549356E-1,-5.699164793E-2
2.278751054E1,5.379585624E-1,-1.970739290E-2,-1.217064619E0
2.303778520E1,-6.354302764E-1,5.464806557E-1,1.368864775E-1
2.328784624E1,-3.456783295E-1,1.070590734E0,6.551376581E-1
2.353818193E1,1.699096859E-1,-3.243730366E-1,1.042361259E0
2.378827348E1,-4.500742257E-1,-2.929477394E-1,-1.408812284E0
2.403848711E1,1.043959141E0,-1.532915592E0,-7.249124646E-1
2.428882280E1,-5.028048158E-1,6.625944972E-1,5.480785370E-1
2.453903642E1,-4.367584288E-1,1.699096859E-1,4.990763962E-1
2.478921953E1,-4.271710515E-1,1.005609632E0,5.949501991E-1
2.503940264E1,2.466087192E-1,7.201187611E-1,-1.183508754E0
2.528970781E1,-3.494067490E-1,-1.310275346E-1,-2.620550692E-1
2.553998247E1,-2.322276533E-1,6.407565475E-1,4.729774296E-1
2.579040972E1,-2.295644879E-1,-5.358279943E-1,7.504788041E-1
2.604071489E1,6.657902598E-1,-1.453020692E0,-1.089765549E0
2.629089800E1,1.236239433E0,-1.018925428E0,-1.031708598E0
2.654092851E1,-8.692557812E-1,8.016114831E-1,7.850999236E-1
2.679098955E1,-8.218515515E-1,5.874933600E-1,4.399542212E-1
2.704129472E1,-1.209075153E-1,1.763012707E-1,5.858954787E-1
2.729156938E1,-1.326254308E-1,8.372978568E-1,-1.588309288E0
2.754358354E1,3.573962152E-1,-1.173921466E0,-2.167813182E-1
2.779361406E1,2.364887148E-1,-2.583266199E-1,7.856325507E-1
2.804376665E1,-7.451524734E-1,-1.752360016E-1,8.639294505E-1
2.829398027E1,9.938917160E-1,-4.010720551E-1,-3.355583176E-2
2.854422441E1,1.438107044E-1,9.875001311E-1,-1.215999365E0
2.879446855E1,-1.027980208E0,6.668555737E-1,1.432780623E-1
2.904645220E1,-2.269013226E-1,1.038632870E0,8.836368918E-1
2.929669634E1,-4.223773479E-1,2.343581803E-2,9.486179948E-1
2.954684892E1,-2.130528986E-1,-8.213189244E-1,-1.589374542E0
2.979700151E1,7.062703371E-1,-1.370995402E0,-9.912285805E-1
3.004733720E1,-2.545982003E-1,6.801713705E-1,6.285060048E-1
3.029925981E1,-9.321063757E-2,-1.603222936E-1,4.697816372E-1
3.054938188E1,8.202536404E-2,8.042746782E-1,8.117315173E-1
3.079944292E1,-2.615224123E-1,1.301753163E0,-1.638909340E0
3.104947344E1,-2.002697140E-1,-1.304416299E0,2.039981484E-1
3.130145708E1,-8.894958496E-1,9.171926975E-1,3.531351686E-1
3.155347124E1,-1.427454352E-1,-3.946804702E-1,7.781757116E-1
3.180353227E1,3.025351167E-1,-1.274588943E0,-1.649029374E0
3.205377641E1,7.403587699E-1,-1.121723413E0,-7.685883045E-1
3.230399004E1,-5.006743073E-1,1.928128600E-1,4.127899706E-1
3.255405107E1,-5.912217498E-1,-1.219727769E-1,9.491506219E-1
3.280426470E1,-1.331580579E-1,5.198490620E-1,3.238403797E-1
3.305429521E1,5.512743592E-1,5.150553584E-1,-1.262338400E0
3.330469194E1,8.522115648E-3,-5.912217498E-1,-1.549959779E-1
3.355493608E1,3.051982522E-1,-1.496696621E-1,1.097755075E0
3.380518022E1,-2.897519469E-1,-3.579288721E-1,8.921589851E-1
3.405527178E1,2.274339646E-1,-2.567287385E-1,-5.150553584E-1
3.430548540E1,6.620618701E-1,-1.427454352E-1,-1.233576298E0
3.455569902E1,-8.756473660E-1,1.017860174E0,3.653857112E-1
3.480597368E1,-2.146507949E-1,1.352353215E0,8.655273914E-1
3.505637041E1,-1.549959779E-1,-1.960086524E-1,1.127049804E0
3.530661455E1,9.267801046E-1,-1.187769890E0,-1.467934370E0
3.555670610E1,1.299622655E-1,-1.311873198E0,-8.325041533E-1
3.580691972E1,-3.643204570E-1,4.809668958E-1,1.048220277E0
3.605707231E1,-7.313040495E-1,2.876213938E-2,8.261125684E-1
3.630716386E1,9.880327582E-1,4.846953228E-2,5.613943934E-1
3.655725542E1,2.567287385E-1,9.337043166E-1,-1.597896695E0
3.680731645E1,-5.938849449E-1,1.464738697E-1,2.625876963E-1
3.705743852E1,-4.026699662E-1,1.029045463E0,8.048073053E-1
3.730795732E1,-6.269081235E-1,-1.214401498E-1,1.209075212E0
3.755826250E1,3.824299276E-1,-1.107342362E0,-1.518001795E0
3.780847612E1,5.709817410E-1,-1.053546548E0,-1.423725963E0
3.805878130E1,-2.029328793E-1,2.476739883E-1,1.224521518E0
3.830902544E1,-3.813646734E-1,2.860234976E-1,7.099987864E-1
3.855930010E1,-7.669904083E-2,6.412891746E-1,3.909520507E-1
3.880957475E1,4.431500137E-1,5.613943934E-1,-1.356614232E0
3.905994096E1,-3.872236311E-1,7.882957160E-2,3.568635881E-2
3.931018510E1,-5.118595958E-1,1.030643344E0,9.438242912E-1
3.956030718E1,-1.949433982E-1,-4.985437691E-1,1.074851871E0
3.981058183E1,2.625876963E-1,-1.248489976E0,-1.041828632E0
4.006079546E1,5.118595958E-1,-1.273523688E0,-1.279382586E0
4.031116167E1,-4.117247164E-1,4.303668439E-1,8.367652297E-1
4.056125322E1,-8.085356951E-1,4.122573435E-1,7.824367285E-1
4.081152788E1,-1.102548689E-1,7.286409140E-1,6.546050310E-1
4.106152788E1,5.219795927E-2,1.011468649E0,-1.724130511E0
4.131180254E1,3.302319720E-2,-3.973436356E-1,-6.764429063E-2
4.156186357E1,-7.297061384E-2,2.561961114E-1,7.078682184E-1
4.181194249E1,-2.141181529E-1,-3.211772442E-1,7.211840153E-1
4.206200353E1,9.129316211E-1,-1.343298435E0,-3.573962152E-1
4.231215611E1,6.732471585E-1,-6.391586661E-1,-1.084439158E0
4.256404820E1,3.456783295E-1,7.344998717E-1,5.752428174E-1
4.281407872E1,-7.648598552E-1,1.033839107E0,7.115966678E-1
4.306441441E1,-8.468852192E-2,6.780408025E-1,6.386260390E-1
4.331636754E1,1.283643693E-1,6.359629035E-1,-1.144093990E0
4.356664220E1,7.669904083E-2,-1.237304688E0,-4.293015897E-1
4.381664220E1,2.636529505E-1,3.195793182E-2,4.202468395E-1
4.406676427E1,-7.073355913E-1,3.195793182E-2,7.488809228E-1
4.431682530E1,7.957525253E-1,-7.254450917E-1,-4.010720551E-1
4.456703893E1,4.452805519E-1,-3.834952042E-2,-1.126517177E0
4.481722203E1,-7.020092607E-1,1.139300346E0,3.739078343E-1
4.506740514E1,-2.993393242E-1,5.060006380E-1,8.809736967E-1
4.531743566E1,1.581917703E-1,-1.438106969E-2,4.735100567E-1
4.556755772E1,3.339604139E-1,2.982740402E-1,-1.581385136E0
4.581774083E1,1.853560209E-1,-1.314536333E0,-2.508697808E-1
4.606813756E1,-1.661812514E-1,-6.604639441E-2,7.813714743E-1
4.631822911E1,-4.181163013E-1,-5.060006380E-1,9.187905788E-1
4.656865636E1,1.085504532E0,-8.394283652E-1,-1.784317940E-1
4.681877843E1,6.093312502E-1,8.575379103E-2,-1.279382586E0
4.706890050E1,-6.487460732E-1,9.614011645E-1,1.507349163E-1
4.731899205E1,-4.830974340E-1,8.277105093E-1,1.102548718E0
4.756914464E1,-1.406149119E-1,8.415589482E-2,1.082308650E0
4.781954137E1,-1.512675583E-1,-2.423476577E-1,-1.259675264E0
4.806990758E1,1.810949668E-2,-1.211738348E0,-9.954896569E-1
4.832012120E1,-1.571265012E-1,-1.171790902E-2,9.113337398E-1
4.857045690E1,-2.402171344E-1,-1.384843737E-1,6.530070901E-1
4.882064000E1,6.066681147E-1,6.609966159E-1,2.418150306E-1
4.907097569E1,6.599313021E-1,2.530003190E-1,-1.175519347E0
4.932112828E1,-8.910937309E-1,3.339604139E-1,5.326322280E-4
4.957134191E1,2.061286718E-1,8.383631110E-1,7.392935157E-1
4.982146398E1,4.261057824E-3,-7.472830415E-1,8.096010089E-1
5.007179967E1,-1.049285457E-1,-1.666606188E0,-1.286306858E0
5.032213536E1,9.145295620E-1,-1.722000003E0,-5.736449361E-1
5.057228795E1,-3.701793849E-1,1.396561742E0,4.932174385E-1
5.082234899E1,-4.554005563E-1,-1.150485575E-1,5.890912414E-1
5.107250157E1,2.130528912E-2,6.061354876E-1,5.145227313E-1
5.132448522E1,-3.824299276E-1,1.788046360E0,-1.753425241E0
5.157451573E1,1.725728363E-1,-7.169229984E-1,1.267664731E-1
5.182463780E1,-2.556634694E-2,2.663161233E-2,6.817692518E-1
5.207472936E1,-6.237123609E-1,-6.391586736E-3,8.426241875E-1
5.232515660E1,7.669904232E-1,-1.141963482E0,-6.130596995E-1
5.257704869E1,5.464806557E-1,-4.016047120E-1,-1.328917384E0
5.282729283E1,3.355583176E-2,8.495483994E-1,7.760451436E-1
5.307747594E1,-2.183792144E-1,5.837649107E-1,6.301039457E-1
5.332781163E1,-8.255799860E-2,1.858886480E-1,8.458199501E-1
5.357781163E1,-5.779059529E-1,4.607268870E-1,-1.500424981E0
5.382793370E1,3.206445873E-1,-1.563275576E0,-3.723099232E-1
5.407805577E1,-1.656486243E-1,3.259709179E-1,4.356931746E-1
5.432826940E1,-2.178465873E-1,-2.716424465E-1,6.838997602E-1
5.457857457E1,7.744472623E-1,1.960086524E-1,1.635181010E-1
5.482878819E1,3.478088379E-1,9.427590370E-1,-1.357679605E0
