Time,Acc_x,Acc_y,Acc_z,Gyr_x,Gyr_y,Gyr_z,labelOnTable,labelSitting,labelWalking,labelRunning,labelStairs
2020-06-10 14:33:53.250,0.01197100803,-0.1149216816,9.612719536,-0.0021305289120000003,0.0,-0.004793690052,1,0,0,0,0
2020-06-10 14:33:53.500,0.03351882473,-0.117315881,9.607931137000001,0.0005326322280000001,-0.001065264456,-0.001597896684,1,0,0,0,0
2020-06-10 14:33:53.750,0.02633621916,-0.1268926859,9.615114212,-0.0021305289120000003,-0.001065264456,-0.0021305289120000003,1,0,0,0,0
2020-06-10 14:33:54.000,0.0191536136,-0.1149216816,9.595960617000001,0.0005326322280000001,0.001065264456,-0.0005326322280000001,1,0,0,0,0
2020-06-10 14:33:54.250,0.03351882473,-0.1244984865,9.612719536,0.0,0.001065264456,-0.0005326322280000001,1,0,0,0,0
2020-06-10 14:33:54.500,0.02394201607,-0.117315881,9.603142737999999,-0.001065264456,0.0005326322280000001,-0.00266316114,1,0,0,0,0
2020-06-10 14:33:54.750,0.02154781483,-0.1125274822,9.615114212,0.0,0.001065264456,0.001597896684,1,0,0,0,0
2020-06-10 14:33:55.000,0.01675941236,-0.1292868853,9.619902611,-0.0005326322280000001,0.0005326322280000001,-0.00266316114,1,0,0,0,0
2020-06-10 14:33:55.250,0.01675941236,-0.1221042871,9.610325813,-0.00266316114,-0.001065264456,-0.001065264456,1,0,0,0,0
2020-06-10 14:33:55.500,0.02154781483,-0.1197100878,9.612719536,-0.001065264456,0.0021305289120000003,-0.001597896684,1,0,0,0,0
2020-06-10 14:33:55.750,0.0191536136,-0.117315881,9.619902611,0.001065264456,-0.001065264456,0.003195793368,1,0,0,0,0
2020-06-10 14:33:56.000,0.02394201607,-0.117315881,9.622296333,-0.003728425596,-0.0005326322280000001,-0.003728425596,1,0,0,0,0
2020-06-10 14:33:56.250,0.02633621916,-0.1197100878,9.622296333,0.0005326322280000001,0.0,0.00266316114,1,0,0,0,0
2020-06-10 14:33:56.500,0.0191536136,-0.1221042871,9.612719536,-0.00266316114,0.001597896684,0.0005326322280000001,1,0,0,0,0
2020-06-10 14:33:56.750,0.02633621916,-0.1244984865,9.610325813,0.0021305289120000003,0.00266316114,-0.0005326322280000001,1,0,0,0,0
2020-06-10 14:33:57.000,0.02633621916,-0.117315881,9.605537415,0.0005326322280000001,-0.001065264456,0.0,1,0,0,0,0
2020-06-10 14:33:57.250,0.02633621916,-0.1149216816,9.612719536,0.001597896684,0.0021305289120000003,0.003728425596,1,0,0,0,0
2020-06-10 14:33:57.500,0.02154781483,-0.1197100878,9.622296333,-0.0005326322280000001,-0.0021305289120000003,0.00266316114,1,0,0,0,0
2020-06-10 14:33:57.750,0.01197100803,-0.107739076,9.605537415,0.0,0.0021305289120000003,-0.001597896684,1,0,0,0,0
2020-06-10 14:33:58.000,0.02154781483,-0.117315881,9.622296333,0.0021305289120000003,-0.001065264456,-0.0021305289120000003,1,0,0,0,0
2020-06-10 14:33:58.250,0.0191536136,-0.1149216816,9.605537415,0.0005326322280000001,0.00266316114,-0.0005326322280000001,1,0,0,0,0
2020-06-10 14:33:58.500,0.03830722719,-0.1292868853,9.605537415,0.0021305289120000003,0.0,0.001597896684,1,0,0,0,0
2020-06-10 14:33:58.750,0.02394201607,-0.1101332754,9.615114212,0.001065264456,-0.001065264456,-0.0021305289120000003,1,0,0,0,0
2020-06-10 14:33:59.000,0.03351882473,-0.1053448766,9.600749016,-0.001065264456,-0.001597896684,-0.0021305289120000003,1,0,0,0,0
2020-06-10 14:33:59.250,-0.007182605098999998,-0.1125274822,9.610325813,-0.0005326322280000001,-0.0021305289120000003,-0.0021305289120000003,1,0,0,0,0
2020-06-10 14:33:59.500,0.02154781483,-0.1221042871,9.653421402000001,-0.0021305289120000003,0.001065264456,0.0,1,0,0,0,0
2020-06-10 14:33:59.750,0.04788403213,-0.1005564705,9.595960617000001,-0.0005326322280000001,0.0005326322280000001,-0.0005326322280000001,1,0,0,0,0
2020-06-10 14:34:00.000,0.040701430289999986,-0.09816227108,9.600749016,0.0,0.0042610578240000006,0.001597896684,1,0,0,0,0
2020-06-10 14:34:00.250,0.02394201607,-0.1268926859,9.634267807,-0.003195793368,0.001065264456,-0.001597896684,1,0,0,0,0
2020-06-10 14:34:00.500,0.0,-0.1149216816,9.63666153,0.001597896684,0.003195793368,0.0,1,0,0,0,0
