"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.039870873E1,1.199999928E0,3.900000000E1,-3.731999969E1
2.064989891E1,1.937999916E1,1.277999973E1,-3.275999832E1
2.090084496E1,1.613999939E1,1.794000053E1,-3.743999863E1
2.115200463E1,1.860000014E0,3.311999893E1,-3.654000092E1
2.140288964E1,1.907999992E1,1.235999966E1,-3.318000031E1
2.165429344E1,1.547999954E1,1.205999947E1,-2.934000015E1
2.190557518E1,1.439999938E0,3.245999908E1,-3.504000092E1
2.215655174E1,2.021999931E1,1.373999977E1,-3.509999847E1
2.240719262E1,1.613999939E1,1.421999931E1,-3.197999954E1
2.265835228E1,-3.599999845E-1,3.354000092E1,-3.221999741E1
2.290954247E1,1.745999908E1,1.338000011E1,-3.084000015E1
2.316027489E1,1.794000053E1,9.300000191E0,-2.603999901E1
2.341112938E1,2.099999905E0,2.909999847E1,-3.395999908E1
2.366219750E1,1.542000008E1,1.500000000E1,-3.450000000E1
2.391311302E1,2.543999863E1,1.613999939E1,-4.127999878E1
2.416430321E1,2.819999933E0,3.354000092E1,-3.852000046E1
2.441573754E1,1.734000015E1,2.147999954E1,-4.427999878E1
2.466698876E1,3.365999985E1,2.142000008E1,-4.847999954E1
2.491827050E1,2.273999977E1,3.167999840E1,-5.195999908E1
2.516915551E1,2.609999847E1,2.435999870E1,-4.668000031E1
2.542068138E1,1.673999977E1,1.223999977E1,-2.592000008E1
2.567144432E1,6.420000076E0,3.341999817E1,-3.984000015E1
2.592242089E1,9.179999352E0,2.855999947E1,-4.073999786E1
2.617351952E1,1.343999958E1,1.284000015E1,-2.526000023E1
2.642477074E1,6.359999657E0,2.921999931E1,-3.893999863E1
2.667580834E1,3.480000019E0,2.771999931E1,-3.575999832E1
2.692705956E1,1.637999916E1,1.188000011E1,-2.705999947E1
2.717831078E1,9.840000153E0,2.285999870E1,-3.707999802E1
2.742968407E1,-1.019999981E0,3.377999878E1,-3.293999863E1
2.768066063E1,1.583999920E1,1.181999969E1,-2.837999916E1
2.793182030E1,1.289999962E1,1.787999916E1,-3.413999939E1
2.818319359E1,-7.799999714E-1,3.239999771E1,-3.204000092E1
2.843462792E1,1.565999985E1,1.121999931E1,-2.861999893E1
2.868587914E1,1.415999985E1,1.409999943E1,-3.155999947E1
2.893731346E1,3.059999943E0,3.263999939E1,-3.600000000E1
2.918819847E1,1.385999966E1,1.565999985E1,-3.293999863E1
2.943944970E1,1.338000011E1,1.343999958E1,-2.885999870E1
2.969030419E1,1.740000010E0,3.461999893E1,-3.545999908E1
2.994143334E1,1.265999985E1,1.811999893E1,-3.534000015E1
3.019256249E1,1.781999969E1,9.179999352E0,-2.550000000E1
3.044356957E1,6.420000076E0,2.603999901E1,-3.947999954E1
3.069485131E1,1.247999954E1,2.063999939E1,-3.923999786E1
3.094622460E1,2.153999901E1,8.039999962E0,-2.657999992E1
3.119726220E1,1.121999931E1,2.285999870E1,-4.073999786E1
3.144842186E1,6.839999676E0,2.771999931E1,-3.941999817E1
3.169961205E1,2.261999893E1,1.092000008E1,-3.227999878E1
3.195077172E1,1.727999878E1,1.943999863E1,-4.020000076E1
3.220150414E1,2.099999905E0,3.431999969E1,-3.623999786E1
3.245269432E1,1.757999992E1,1.403999996E1,-2.819999886E1
3.270354882E1,1.547999954E1,1.488000011E1,-2.969999886E1
3.295455146E1,3.659999847E0,2.951999855E1,-3.263999939E1
3.320540595E1,2.171999931E1,1.175999928E1,-3.071999931E1
3.345644354E1,2.129999924E1,1.001999950E1,-2.735999870E1
3.370748114E1,6.359999657E0,2.676000023E1,-3.402000046E1
3.395882392E1,2.537999916E1,1.367999935E1,-3.336000061E1
3.420992255E1,2.471999931E1,9.300000191E0,-2.831999969E1
3.446099066E1,6.059999943E0,2.826000023E1,-3.545999908E1
3.471227240E1,1.361999989E1,1.805999947E1,-3.300000000E1
3.496324897E1,2.045999908E1,8.460000038E0,-2.484000015E1
3.521401190E1,7.980000019E0,2.423999977E1,-3.402000046E1
3.546495795E1,4.980000019E0,2.297999954E1,-3.035999870E1
3.571605658E1,2.123999977E1,6.420000076E0,-2.237999916E1
3.596675849E1,1.715999985E1,1.355999947E1,-3.834000015E1
3.621797919E1,4.319999695E0,2.273999977E1,-3.443999863E1
3.646913886E1,1.955999947E1,7.799999714E0,-2.501999855E1
3.672026801E1,1.289999962E1,1.631999969E1,-3.197999954E1
3.697124457E1,2.279999971E0,2.892000008E1,-3.329999924E1
3.722261786E1,2.357999992E1,7.559999943E0,-2.663999939E1
3.747377753E1,2.526000023E1,6.899999619E0,-2.711999893E1
3.772460150E1,2.939999819E0,2.747999954E1,-3.413999939E1
3.797588324E1,2.153999901E1,9.359999657E0,-2.945999908E1
3.822664618E1,2.100000000E1,9.300000191E0,-2.531999969E1
3.847786689E1,6.539999962E0,2.495999908E1,-3.761999893E1
3.872917914E1,1.553999996E1,1.631999969E1,-3.473999786E1
3.898039984E1,1.943999863E1,9.420000076E0,-2.777999878E1
3.923131537E1,1.067999935E1,2.442000008E1,-4.061999893E1
3.948265814E1,9.539999962E0,1.937999916E1,-3.395999908E1
3.973360419E1,2.513999939E1,8.220000267E0,-2.411999893E1
3.998436713E1,1.668000031E1,1.752000046E1,-3.431999969E1
4.023534369E1,8.279999733E0,2.568000031E1,-3.618000031E1
4.048638129E1,2.813999939E1,9.659999847E0,-2.663999939E1
4.073754096E1,1.776000023E1,1.818000031E1,-3.665999985E1
4.098870062E1,3.539999962E0,3.341999817E1,-3.900000000E1
