"Time (s)","Illuminance (lx)"
5.316527533E1,1.851000000E3
5.345906806E1,1.549000000E3
5.375362372E1,1.519000000E3
5.414998603E1,1.498000000E3
5.441335272E1,1.112000000E3
5.469188666E1,1.747000000E3
5.498616767E1,1.456000000E3
5.537871527E1,1.693000000E3
5.577083564E1,1.645000000E3
5.616292548E1,1.523000000E3
5.645714545E1,1.479000000E3
5.694762397E1,1.501000000E3
5.733995795E1,1.409000000E3
5.763423896E1,1.127000000E3
5.792867255E1,1.168000000E3
5.822286200E1,1.258000000E3
5.851757025E1,1.484000000E3
5.890969062E1,1.475000000E3
5.940010810E1,1.442000000E3
5.969451117E1,1.446000000E3
5.996187567E1,9.820000000E2
6.024037909E1,1.110000000E3
6.053475165E1,1.305000000E3
6.092723822E1,1.451000000E3
6.131972480E1,1.448000000E3
6.171208930E1,1.452000000E3
6.200649237E1,1.566000000E3
6.230098700E1,1.615000000E3
6.259505439E1,1.654000000E3
6.297179389E1,4.970000000E2
6.326622748E1,2.122000000E3
6.356032538E1,2.069000000E3
6.385451483E1,2.158000000E3
6.428990912E1,2.210000000E3
6.454106879E1,5.180000000E2
6.490236640E1,8.090000000E2
6.545226264E1,9.210000000E2
6.624629950E1,1.102000000E3
6.680025648E1,8.710000000E2
6.735030531E1,6.950000000E2
6.764492201E1,3.014000000E3
6.810827040E1,7.630000000E2
6.840230726E1,2.899000000E3
6.869631361E1,2.977000000E3
6.925527357E1,8.080000000E2
6.980507826E1,8.700000000E2
7.035485243E1,1.006000000E3
7.091280531E1,1.164000000E3
7.147072767E1,1.218000000E3
7.174996351E1,4.286000000E3
7.220702528E1,1.038000000E3
7.284874891E1,1.181000000E3
7.346630263E1,1.326000000E3
7.371840834E1,8.560000000E2
7.418258070E1,1.124000000E3
7.474419569E1,1.196000000E3
7.538601088E1,1.156000000E3
7.621898817E1,9.780000000E2
7.683178114E1,1.454000000E3
7.708345961E1,2.647000000E3
7.768139052E1,9.590000000E2
7.824309706E1,9.500000000E2
7.897429823E1,8.500000000E2
7.952434706E1,8.720000000E2
8.015749525E1,8.480000000E2
8.071959852E1,9.700000000E2
8.127016615E1,8.500000000E2
8.153734755E1,5.050000000E2
8.194558119E1,8.220000000E2
8.249678969E1,9.020000000E2
8.307976698E1,9.680000000E2
8.363438515E1,9.360000000E2
8.390184121E1,5.630000000E2
8.431010537E1,9.020000000E2
8.488758950E1,9.020000000E2
8.543772988E1,8.260000000E2
8.598759560E1,8.540000000E2
8.671861367E1,1.460000000E3
8.728108315E1,9.480000000E2
8.786375527E1,9.400000000E2
8.841719155E1,9.980000000E2
8.897239785E1,1.004000000E3
8.955363564E1,1.164000000E3
9.015160823E1,1.704000000E3
9.075021052E1,1.764000000E3
9.137637019E1,1.816000000E3
9.197460628E1,1.596000000E3
9.257284236E1,1.590000000E3
9.317016292E1,1.908000000E3
9.380685115E1,4.012000000E3
9.436590266E1,4.874000000E3
9.498379207E1,2.515000000E3
9.525062974E1,7.600000000E1
9.581602891E1,5.700000000E2
9.614589341E1,5.378000000E3
9.686165269E1,8.770000000E2
9.821995958E1,6.300000000E2
9.851396592E1,2.990000000E3
9.907167466E1,6.690000000E2
9.936555894E1,2.543000000E3
9.965938218E1,2.570000000E3
9.991798814E1,2.550000000E3
1.001768077E2,2.741000000E3
1.004285200E2,2.062000000E3
1.010479658E2,5.270000000E2
1.013350447E2,1.000000000E0
1.016725386E2,2.706000000E3
1.020140913E2,1.682000000E3
1.023558577E2,1.433000000E3
1.026894148E2,2.225000000E3
1.030815351E2,2.345000000E3
1.033757246E2,2.474000000E3
1.038662031E2,2.530000000E3
1.041602400E2,2.552000000E3
1.045518415E2,2.668000000E3
1.050424116E2,2.786000000E3
1.054346846E2,2.658000000E3
1.058268965E2,2.612000000E3
1.063175581E2,2.544000000E3
1.067094343E2,2.528000000E3
1.071019819E2,2.420000000E3
1.074929426E2,2.392000000E3
1.078852156E2,2.380000000E3
1.081793745E2,2.358000000E3
1.084735945E2,2.240000000E3
