"Time (s)","Illuminance (lx)"
3.041799927E1,6.100000000E1
3.091586304E1,6.000000000E1
3.250650024E1,6.100000000E1
3.330151367E1,6.000000000E1
3.359915161E1,5.700000000E1
3.399673462E1,5.700000000E1
3.439428711E1,5.900000000E1
3.538830566E1,5.900000000E1
3.578588867E1,6.000000000E1
3.608459548E1,6.100000000E1
3.648196487E1,6.000000000E1
3.677963333E1,5.900000000E1
3.727722244E1,6.000000000E1
3.757461624E1,6.400000000E1
3.797226028E1,6.300000000E1
3.827114944E1,6.000000000E1
3.876757888E1,6.100000000E1
3.916522293E1,6.300000000E1
3.946426468E1,6.200000000E1
3.976181106E1,6.000000000E1
4.025940017E1,6.000000000E1
4.055694656E1,6.300000000E1
4.105484085E1,6.200000000E1
4.135260086E1,6.100000000E1
4.194882278E1,6.100000000E1
4.224758987E1,6.300000000E1
4.264523391E1,6.200000000E1
4.294296340E1,5.900000000E1
4.353936843E1,5.900000000E1
4.393685989E1,6.200000000E1
4.453302078E1,6.100000000E1
4.532812576E1,6.100000000E1
4.592434768E1,6.000000000E1
4.711737136E1,5.900000000E1
4.791256790E1,5.900000000E1
4.841015701E1,6.200000000E1
4.910510330E1,6.200000000E1
4.980218582E1,6.200000000E1
5.009976272E1,6.500000000E1
5.039859085E1,6.400000000E1
5.069613723E1,6.000000000E1
5.139257888E1,5.900000000E1
5.169009475E1,6.100000000E1
5.248535232E1,6.100000000E1
5.318200759E1,6.000000000E1
5.387735061E1,6.100000000E1
5.427523880E1,5.800000000E1
5.487158279E1,5.900000000E1
5.546792678E1,5.900000000E1
5.616442947E1,5.900000000E1
5.646197586E1,6.200000000E1
5.705850296E1,6.100000000E1
5.735739212E1,5.800000000E1
5.785379104E1,5.900000000E1
5.825122146E1,6.100000000E1
5.855014114E1,6.000000000E1
5.884771804E1,5.800000000E1
5.954406814E1,5.900000000E1
5.984164505E1,6.000000000E1
6.014062576E1,5.900000000E1
6.073718338E1,5.800000000E1
6.163122634E1,5.900000000E1
6.212878494E1,5.800000000E1
6.292401199E1,5.900000000E1
6.371930008E1,5.900000000E1
6.441430740E1,5.900000000E1
6.511068801E1,6.000000000E1
6.550848465E1,5.700000000E1
6.590594558E1,5.800000000E1
6.620364456E1,6.000000000E1
6.670135574E1,6.000000000E1
6.699895798E1,5.800000000E1
6.769573533E1,5.900000000E1
6.849096238E1,6.100000000E1
6.888836228E1,6.000000000E1
6.978219163E1,5.800000000E1
7.008101975E1,5.700000000E1
7.037859666E1,5.500000000E1
7.087609422E1,5.600000000E1
7.117364060E1,5.900000000E1
7.176986253E1,5.900000000E1
7.226729905E1,5.900000000E1
7.306261765E1,5.900000000E1
7.336001145E1,5.800000000E1
7.435406052E1,5.900000000E1
7.514940964E1,5.800000000E1
7.564693772E1,5.900000000E1
7.644210374E1,6.000000000E1
7.683950364E1,5.800000000E1
7.723711716E1,5.900000000E1
7.763488328E1,6.100000000E1
7.823153245E1,6.000000000E1
7.892669236E1,6.000000000E1
7.982155930E1,6.000000000E1
8.011931931E1,5.900000000E1
8.041826951E1,6.000000000E1
8.081576096E1,6.200000000E1
8.141228806E1,6.200000000E1
8.210744797E1,6.100000000E1
8.300265061E1,6.100000000E1
8.330019700E1,6.000000000E1
8.389678513E1,6.100000000E1
8.419561326E1,6.400000000E1
8.469210374E1,6.300000000E1
8.499087083E1,6.100000000E1
8.548730027E1,6.100000000E1
8.628249680E1,6.000000000E1
8.707775437E1,5.900000000E1
8.737670457E1,6.000000000E1
8.797277390E1,5.900000000E1
8.827047288E1,5.700000000E1
8.876824509E1,5.800000000E1
8.906603562E1,6.000000000E1
8.956389939E1,5.900000000E1
8.986147630E1,5.800000000E1
9.045791184E1,5.900000000E1
9.095534836E1,5.900000000E1
9.125295579E1,5.700000000E1
9.204821336E1,5.800000000E1
9.274496018E1,5.800000000E1
9.344033372E1,5.900000000E1
9.403676926E1,6.000000000E1
9.433571946E1,5.700000000E1
9.483230149E1,5.800000000E1
9.533007371E1,6.000000000E1
