"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.178826904E1,-1.384843793E-2,-2.663161140E-3,1.278317347E-2
2.203869629E1,2.769687586E-2,-3.195793182E-2,0.000000000E0
2.228918457E1,-3.089267015E-2,3.355583176E-2,5.326322280E-3
2.253976440E1,-5.219795927E-2,3.036003746E-2,1.864212751E-2
2.279016113E1,-1.278317347E-2,5.858954508E-3,1.065264456E-3
2.304067993E1,-1.171790902E-2,2.663161140E-3,6.391586736E-3
2.329125977E1,-3.249056637E-2,-3.142530099E-2,-2.609897964E-2
2.354159546E1,2.663161233E-2,-4.527373984E-2,-1.970739290E-2
2.379217529E1,2.130528912E-2,-5.858954508E-3,-1.544633508E-2
2.404272461E1,4.101268202E-2,2.130528912E-3,-7.989482954E-3
2.429318237E1,0.000000000E0,-2.663161140E-3,9.587380104E-3
2.454370117E1,-3.888215125E-2,2.343581803E-2,2.876213938E-2
2.479443359E1,9.054748341E-3,1.171790902E-2,-2.290318534E-2
2.504476929E1,-5.326322280E-3,4.261057824E-3,1.331580617E-2
2.529541016E1,-5.592638254E-2,6.391586363E-2,2.556634694E-2
2.554589844E1,3.568635881E-2,1.757686399E-2,-2.929477207E-2
2.579647827E1,-2.503371425E-2,2.663161140E-3,3.036003746E-2
2.604681397E1,-9.587380104E-3,1.704423130E-2,1.438106969E-2
2.629724121E1,-9.587380104E-3,-3.036003746E-2,-9.054748341E-3
2.654785156E1,-2.077265643E-2,-1.438106969E-2,0.000000000E0
2.679833984E1,8.522115648E-3,9.054748341E-3,3.728425596E-3
2.704882812E1,1.651159860E-2,1.065264456E-2,4.793690052E-3
2.729922485E1,6.018744037E-2,2.663161140E-3,1.065264456E-3
2.754980469E1,-9.587380104E-3,5.326322280E-4,-1.810949668E-2
2.780026245E1,-2.663161140E-3,-3.142530099E-2,-2.024002373E-2
2.805072022E1,1.118527725E-2,-6.391586736E-3,2.130528912E-3
2.830114746E1,1.012001187E-2,-4.261057824E-3,-9.054748341E-3
2.855157471E1,3.195793368E-3,2.822950855E-2,3.515372798E-2
2.880209351E1,6.391586736E-3,2.077265643E-2,1.597896591E-2
2.905273438E1,-1.438106969E-2,1.810949668E-2,1.331580617E-2
