"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.237026804E1,-4.788403399E-3,-1.101332754E-1,9.631873131E0
2.262142771E1,9.576806799E-3,-1.101332754E-1,9.603142738E0
2.287273997E1,7.182605099E-3,-1.508347094E-1,9.593565941E0
2.312386912E1,-3.591302410E-2,-1.292868853E-1,9.612719536E0
2.337505930E1,-1.915361360E-2,-1.268926859E-1,9.533711433E0
2.362600535E1,2.633621916E-2,-1.292868853E-1,9.612719536E0
2.387710398E1,1.436521020E-2,-1.173158810E-1,9.677363396E0
2.412850779E1,-4.788403399E-3,-1.173158810E-1,9.610325813E0
2.437972849E1,1.436521020E-2,-1.221042871E-1,9.579200745E0
2.463101023E1,2.394201607E-2,-1.221042871E-1,9.615114212E0
2.488223093E1,2.154781483E-2,-1.005564705E-1,9.536105156E0
2.513348216E1,4.070143029E-2,-1.077390760E-1,9.600749016E0
2.538470286E1,7.182605099E-3,-9.816227108E-2,9.562441826E0
2.563589304E1,3.112462163E-2,-1.005564705E-1,9.514557838E0
2.588686961E1,4.070143029E-2,-1.292868853E-1,9.658209801E0
2.613790720E1,9.576806799E-3,-1.053448766E-1,9.591172218E0
2.638909739E1,9.576806799E-3,-1.244984865E-1,9.622296333E0
2.664034861E1,4.070143029E-2,-1.125274822E-1,9.603142738E0
2.689132517E1,3.112462163E-2,-1.149216816E-1,9.605537415E0
2.714221018E1,3.591302410E-2,-6.703764945E-2,9.588777542E0
2.739352244E1,2.154781483E-2,-1.125274822E-1,9.598354340E0
2.764477366E1,3.351882473E-2,-1.053448766E-1,9.598354340E0
2.789590281E1,2.873042040E-2,-9.816227108E-2,9.612719536E0
2.814703196E1,3.591302410E-2,-1.077390760E-1,9.605537415E0
2.839819163E1,4.309562966E-2,-1.029506698E-1,9.600749016E0
2.864929026E1,2.873042040E-2,-1.149216816E-1,9.603142738E0
2.890060252E1,2.873042040E-2,-1.005564705E-1,9.605537415E0
2.915157908E1,1.675941236E-2,-1.149216816E-1,9.603142738E0
2.940261668E1,2.633621916E-2,-1.101332754E-1,9.605537415E0
2.965359324E1,2.633621916E-2,-1.053448766E-1,9.605537415E0
2.990481394E1,3.351882473E-2,-1.125274822E-1,9.617507935E0
3.015591258E1,2.394201607E-2,-1.029506698E-1,9.607931137E0
3.040698069E1,2.394201607E-2,-9.097966552E-2,9.605537415E0
3.065814036E1,2.873042040E-2,-1.101332754E-1,9.600749016E0
3.090930003E1,1.915361360E-2,-1.077390760E-1,9.603142738E0
3.116055125E1,2.154781483E-2,-1.029506698E-1,9.607931137E0
3.141177195E1,1.675941236E-2,-9.576806426E-2,9.624691010E0
3.166287058E1,2.633621916E-2,-1.149216816E-1,9.615114212E0
3.191421336E1,3.112462163E-2,-1.101332754E-1,9.603142738E0
3.216522044E1,3.112462163E-2,-1.005564705E-1,9.605537415E0
3.241656321E1,9.576806799E-3,-1.077390760E-1,9.607931137E0
3.266763132E1,2.394201607E-2,-1.029506698E-1,9.603142738E0
3.291869944E1,3.591302410E-2,-1.077390760E-1,9.612719536E0
3.316998118E1,3.112462163E-2,-1.077390760E-1,9.607931137E0
3.342120188E1,3.591302410E-2,-1.077390760E-1,9.612719536E0
3.367242258E1,2.873042040E-2,-1.053448766E-1,9.615114212E0
3.392364329E1,1.675941236E-2,-1.077390760E-1,9.607931137E0
3.417480296E1,3.830722719E-2,-1.077390760E-1,9.610325813E0
3.442596262E1,1.915361360E-2,-1.101332754E-1,9.612719536E0
3.467733592E1,2.394201607E-2,-1.077390760E-1,9.612719536E0
3.492849558E1,2.633621916E-2,-1.077390760E-1,9.617507935E0
3.517983836E1,1.675941236E-2,-1.101332754E-1,9.612719536E0
3.543096751E1,1.675941236E-2,-1.101332754E-1,9.612719536E0
3.568203562E1,2.154781483E-2,-8.858546615E-2,9.615114212E0
3.593313426E1,4.070143029E-2,-1.101332754E-1,9.603142738E0
3.618432444E1,2.394201607E-2,-1.077390760E-1,9.610325813E0
3.643557566E1,2.873042040E-2,-1.149216816E-1,9.615114212E0
3.668691843E1,2.873042040E-2,-1.005564705E-1,9.612719536E0
3.693798655E1,2.394201607E-2,-9.816227108E-2,9.631873131E0
3.718914622E1,4.309562966E-2,-1.005564705E-1,9.646238327E0
3.744027537E1,3.591302410E-2,-1.101332754E-1,9.603142738E0
3.769149607E1,1.197100803E-2,-1.316810995E-1,9.605537415E0
3.794262522E1,2.154781483E-2,-1.244984865E-1,9.600749016E0
3.819347971E1,1.675941236E-2,-1.149216816E-1,9.612719536E0
3.844485301E1,2.633621916E-2,-1.125274822E-1,9.624691010E0
3.869616526E1,2.154781483E-2,-9.337386489E-2,9.615114212E0
3.894732493E1,2.394201607E-2,-1.077390760E-1,9.598354340E0
3.919872874E1,1.436521020E-2,-1.029506698E-1,9.617507935E0
3.944985789E1,2.154781483E-2,-1.149216816E-1,9.619902611E0
3.970117014E1,2.394201607E-2,-1.149216816E-1,9.610325813E0
