"Time (s)","Illuminance (lx)"
6.048928745E1,1.350000000E2
6.117642124E1,1.350000000E2
6.147061069E1,1.360000000E2
6.196099766E1,1.400000000E2
6.225543125E1,1.380000000E2
6.264788731E1,1.370000000E2
6.304421909E1,1.350000000E2
6.334670933E1,6.300000000E1
6.359789951E1,1.300000000E2
6.389208897E1,7.200000000E1
6.418646152E1,1.420000000E2
6.448074253E1,1.390000000E2
6.477923496E1,1.370000000E2
6.512484653E1,1.230000000E2
6.541934116E1,1.940000000E2
6.571365269E1,1.660000000E2
6.600784214E1,1.390000000E2
6.659652622E1,1.400000000E2
6.689068516E1,1.450000000E2
6.728326328E1,1.440000000E2
6.757763584E1,1.390000000E2
6.816601475E1,1.390000000E2
6.846038730E1,1.450000000E2
6.875482090E1,1.920000000E2
6.914727695E1,1.940000000E2
6.944146641E1,1.530000000E2
6.983398350E1,1.540000000E2
7.012860020E1,1.600000000E2
7.042285068E1,1.550000000E2
7.081509312E1,1.700000000E2
7.108206089E1,2.240000000E2
7.141573873E1,1.640000000E2
7.171017232E1,4.440000000E2
7.210265889E1,3.520000000E2
7.239712300E1,1.730000000E2
7.278927388E1,1.660000000E2
7.308367696E1,1.470000000E2
7.386825338E1,1.450000000E2
7.411974874E1,7.300000000E1
7.441409078E1,1.080000000E2
7.470840230E1,1.790000000E2
7.500283590E1,1.690000000E2
7.539507833E1,1.580000000E2
7.568917623E1,1.570000000E2
7.598342672E1,1.470000000E2
7.627779928E1,1.420000000E2
7.667022481E1,1.410000000E2
7.696462789E1,1.390000000E2
7.735693136E1,1.410000000E2
7.784747091E1,1.430000000E2
7.814172139E1,1.380000000E2
7.843606344E1,1.420000000E2
7.873049703E1,2.090000000E2
7.902480855E1,3.120000000E2
7.931896749E1,2.950000000E2
7.961346212E1,1.600000000E2
8.020211568E1,1.400000000E2
8.049642720E1,1.380000000E2
8.088885274E1,1.390000000E2
8.134823385E1,1.080000000E2
8.164263692E1,3.430000000E2
8.193694844E1,2.720000000E2
8.242754903E1,1.470000000E2
8.272198262E1,1.460000000E2
8.311422506E1,1.430000000E2
8.389889302E1,1.440000000E2
8.419344869E1,1.500000000E2
8.448776021E1,1.490000000E2
8.478234639E1,1.410000000E2
8.507674947E1,1.360000000E2
8.537130513E1,1.320000000E2
8.576360860E1,1.330000000E2
8.684332052E1,1.350000000E2
8.723568502E1,1.360000000E2
8.782449117E1,1.370000000E2
8.841341939E1,1.360000000E2
8.978729024E1,1.360000000E2
9.037591329E1,1.370000000E2
9.067028585E1,1.400000000E2
9.106268087E1,1.420000000E2
9.145510640E1,1.440000000E2
9.204360738E1,1.440000000E2
9.243606344E1,1.420000000E2
9.273031392E1,1.380000000E2
9.312261739E1,1.360000000E2
9.380947652E1,1.370000000E2
9.430001607E1,1.380000000E2
9.459441915E1,1.420000000E2
9.488873067E1,1.450000000E2
9.547753682E1,1.460000000E2
9.577181783E1,1.380000000E2
9.606622091E1,1.350000000E2
9.636053243E1,1.340000000E2
9.665481344E1,1.330000000E2
9.753820577E1,1.340000000E2
9.812704244E1,1.320000000E2
9.871597066E1,1.330000000E2
9.910833516E1,1.340000000E2
1.001878640E2,1.350000000E2
1.005802285E2,1.340000000E2
1.009725014E2,1.330000000E2
1.013651101E2,1.340000000E2
1.023460727E2,1.350000000E2
1.028366733E2,1.340000000E2
1.033273654E2,1.330000000E2
1.049950900E2,1.340000000E2
1.052893405E2,1.350000000E2
1.059762912E2,1.340000000E2
1.074483981E2,1.350000000E2
1.078408847E2,1.340000000E2
1.085276828E2,1.350000000E2
1.089201999E2,1.370000000E2
1.094106174E2,1.360000000E2
1.099009433E2,1.360000000E2
1.101953769E2,1.370000000E2
1.125502353E2,1.360000000E2
1.132369418E2,1.350000000E2
1.135311313E2,1.340000000E2
1.139236789E2,1.350000000E2
1.147086825E2,1.360000000E2
1.156897616E2,1.350000000E2
1.159842563E2,1.340000000E2
1.170637240E2,1.350000000E2
1.179467807E2,1.340000000E2
1.182410922E2,1.330000000E2
1.187315402E2,1.340000000E2
1.190258517E2,1.350000000E2
1.199090610E2,1.340000000E2
1.203014560E2,1.350000000E2
1.205957675E2,1.360000000E2
1.216756015E2,1.370000000E2
1.219700351E2,1.400000000E2
1.222642856E2,1.440000000E2
1.225586581E2,1.660000000E2
1.228529697E2,2.570000000E2
1.231474032E2,2.400000000E2
1.234418979E2,1.450000000E2
1.237362094E2,1.380000000E2
1.244230685E2,1.360000000E2
1.247172580E2,1.380000000E2
1.250119662E2,1.400000000E2
1.253061557E2,1.430000000E2
1.256983066E2,1.460000000E2
1.263851352E2,1.470000000E2
1.266793552E2,1.470000000E2
1.269737887E2,1.450000000E2
1.274643893E2,1.460000000E2
1.277584567E2,1.750000000E2
1.280527377E2,1.880000000E2
1.283471103E2,1.880000000E2
1.286412387E2,1.770000000E2
1.289357028E2,1.460000000E2
1.293282199E2,1.470000000E2
1.298188510E2,1.480000000E2
1.302115512E2,1.430000000E2
1.305060763E2,1.440000000E2
1.308004489E2,1.920000000E2
1.310947604E2,1.900000000E2
1.313891940E2,1.440000000E2
1.320757785E2,1.430000000E2
1.323700595E2,1.420000000E2
1.326646457E2,1.380000000E2
1.333511112E2,1.360000000E2
1.336453312E2,1.390000000E2
1.340377568E2,1.380000000E2
1.344301823E2,1.360000000E2
1.352152470E2,1.370000000E2
1.355094670E2,1.410000000E2
1.359021977E2,1.400000000E2
1.361966007E2,1.380000000E2
1.364909123E2,1.370000000E2
1.371778935E2,1.370000000E2
1.377664250E2,1.390000000E2
1.380607975E2,1.370000000E2
1.388456486E2,1.370000000E2
1.391400822E2,1.400000000E2
1.395325688E2,1.390000000E2
1.398269413E2,1.360000000E2
1.402193058E2,1.340000000E2
1.408081120E2,1.330000000E2
1.419855717E2,1.340000000E2
1.422799443E2,1.360000000E2
1.429669255E2,1.350000000E2
1.435556095E2,1.360000000E2
1.441442021E2,1.380000000E2
1.444385746E2,1.420000000E2
1.448309696E2,1.400000000E2
1.461063908E2,1.370000000E2
1.464009159E2,1.380000000E2
1.467933415E2,1.390000000E2
1.470875614E2,1.400000000E2
1.473818424E2,1.440000000E2
1.476761845E2,1.470000000E2
1.480685795E2,1.470000000E2
1.483630436E2,1.450000000E2
1.488534306E2,1.460000000E2
1.491475895E2,1.480000000E2
1.494418095E2,1.530000000E2
1.498617924E2,1.610000000E2
1.501836918E2,3.170000000E2
1.504777287E2,3.340000000E2
1.507722233E2,2.490000000E2
1.510666569E2,1.630000000E2
1.513610295E2,1.630000000E2
1.517536381E2,1.590000000E2
1.520478581E2,1.560000000E2
1.523421391E2,1.440000000E2
1.531272343E2,1.440000000E2
1.535199650E2,1.450000000E2
1.538142460E2,1.440000000E2
1.542065190E2,1.430000000E2
1.545007084E2,1.410000000E2
1.549913395E2,1.420000000E2
1.552856205E2,1.440000000E2
1.557760990E2,1.460000000E2
1.561685856E2,1.450000000E2
1.564629887E2,1.430000000E2
1.567573612E2,1.420000000E2
1.572479923E2,1.410000000E2
1.586211918E2,1.400000000E2
1.589154118E2,1.380000000E2
1.593078373E2,1.390000000E2
1.596022099E2,1.420000000E2
1.601909855E2,1.410000000E2
1.604852970E2,1.390000000E2
1.611721867E2,1.390000000E2
1.614664982E2,1.410000000E2
1.619569462E2,1.400000000E2
1.625457218E2,1.390000000E2
1.629379643E2,1.370000000E2
1.637229374E2,1.370000000E2
1.646061161E2,1.360000000E2
1.663716515E2,1.350000000E2
1.672547387E2,1.360000000E2
1.679414147E2,1.370000000E2
1.696096581E2,1.360000000E2
1.703942955E2,1.350000000E2
1.722584008E2,1.360000000E2
1.747108849E2,1.370000000E2
1.764767846E2,1.380000000E2
1.772613915E2,1.370000000E2
1.776536034E2,1.360000000E2
1.789284752E2,1.360000000E2
1.795170678E2,1.350000000E2
1.800076378E2,1.340000000E2
1.807926415E2,1.350000000E2
1.816755150E2,1.360000000E2
1.820680321E2,1.350000000E2
1.826567772E2,1.350000000E2
1.831471947E2,1.350000000E2
1.839322289E2,1.360000000E2
1.842264489E2,1.370000000E2
1.847170189E2,1.350000000E2
1.859922265E2,1.350000000E2
1.863844689E2,1.360000000E2
1.870711754E2,1.350000000E2
1.888368004E2,1.360000000E2
1.903086327E2,1.350000000E2
1.916819848E2,1.360000000E2
1.928593224E2,1.350000000E2
1.931537865E2,1.360000000E2
1.945275658E2,1.340000000E2
1.952142418E2,1.350000000E2
1.956064843E2,1.370000000E2
1.959987572E2,1.360000000E2
1.972745323E2,1.370000000E2
1.975686912E2,1.390000000E2
1.982553977E2,1.380000000E2
1.990403404E2,1.380000000E2
1.994326744E2,1.400000000E2
2.002178001E2,1.390000000E2
2.015912742E2,1.380000000E2
2.019835777E2,1.370000000E2
2.033569908E2,1.360000000E2
2.044364891E2,1.360000000E2
2.048289146E2,1.370000000E2
2.051231651E2,1.360000000E2
2.054175376E2,1.350000000E2
2.062023277E2,1.360000000E2
2.070853843E2,1.350000000E2
2.074777793E2,1.340000000E2
2.081641807E2,1.350000000E2
2.085565757E2,1.360000000E2
2.088509178E2,1.350000000E2
2.103225059E2,1.340000000E2
2.111073265E2,1.350000000E2
2.118917808E2,1.340000000E2
2.129703941E2,1.350000000E2
2.143445091E2,1.340000000E2
2.151293296E2,1.360000000E2
2.160123252E2,1.350000000E2
2.166991233E2,1.360000000E2
2.189549522E2,1.350000000E2
2.199361534E2,1.360000000E2
2.204269981E2,1.370000000E2
2.208193626E2,1.370000000E2
2.215064353E2,1.360000000E2
2.221933250E2,1.370000000E2
2.229782676E2,1.360000000E2
2.234686851E2,1.350000000E2
2.240573387E2,1.360000000E2
2.245480308E2,1.350000000E2
2.251367149E2,1.360000000E2
2.265105552E2,1.350000000E2
2.272953074E2,1.370000000E2
2.279819834E2,1.360000000E2
2.285710032E2,1.370000000E2
2.297481577E2,1.360000000E2
2.316118662E2,1.370000000E2
2.319061167E2,1.380000000E2
2.322006418E2,1.370000000E2
2.325929453E2,1.360000000E2
2.328872568E2,1.350000000E2
2.336718943E2,1.360000000E2
2.346530955E2,1.350000000E2
2.355363962E2,1.360000000E2
2.367135813E2,1.350000000E2
2.372040598E2,1.360000000E2
2.383813975E2,1.370000000E2
2.400492746E2,1.360000000E2
