Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Label
0,0.01197100803,-0.1149216816,9.612719536,-0.0021305289120000003,0.0,-0.004793690052,onTable
1,0.03351882473,-0.117315881,9.607931137000001,0.0005326322280000001,-0.0010652644560000001,-0.001597896684,onTable
2,0.026336219159999997,-0.1268926859,9.615114212,-0.0021305289120000003,-0.0010652644560000001,-0.0021305289120000003,onTable
3,0.0191536136,-0.1149216816,9.595960617000001,0.0005326322280000001,0.0010652644560000001,-0.0005326322280000001,onTable
4,0.03351882473,-0.1244984865,9.612719536,0.0,0.0010652644560000001,-0.0005326322280000001,onTable
5,0.02394201607,-0.117315881,9.603142737999999,-0.0010652644560000001,0.0005326322280000001,-0.00266316114,onTable
6,0.02154781483,-0.1125274822,9.615114212,0.0,0.0010652644560000001,0.001597896684,onTable
7,0.01675941236,-0.1292868853,9.619902611,-0.0005326322280000001,0.0005326322280000001,-0.00266316114,onTable
8,0.01675941236,-0.12210428710000001,9.610325813,-0.00266316114,-0.0010652644560000001,-0.0010652644560000001,onTable
9,0.02154781483,-0.11971008779999999,9.612719536,-0.0010652644560000001,0.0021305289120000003,-0.001597896684,onTable
10,0.0191536136,-0.117315881,9.619902611,0.0010652644560000001,-0.0010652644560000001,0.003195793368,onTable
11,0.02394201607,-0.117315881,9.622296333,-0.003728425596,-0.0005326322280000001,-0.003728425596,onTable
12,0.026336219159999997,-0.11971008779999999,9.622296333,0.0005326322280000001,0.0,0.00266316114,onTable
13,0.0191536136,-0.12210428710000001,9.612719536,-0.00266316114,0.001597896684,0.0005326322280000001,onTable
14,0.026336219159999997,-0.1244984865,9.610325813,0.0021305289120000003,0.00266316114,-0.0005326322280000001,onTable
15,0.026336219159999997,-0.117315881,9.605537415,0.0005326322280000001,-0.0010652644560000001,0.0,onTable
16,0.026336219159999997,-0.1149216816,9.612719536,0.001597896684,0.0021305289120000003,0.003728425596,onTable
17,0.02154781483,-0.11971008779999999,9.622296333,-0.0005326322280000001,-0.0021305289120000003,0.00266316114,onTable
18,0.01197100803,-0.107739076,9.605537415,0.0,0.0021305289120000003,-0.001597896684,onTable
19,0.02154781483,-0.117315881,9.622296333,0.0021305289120000003,-0.0010652644560000001,-0.0021305289120000003,onTable
20,0.0191536136,-0.1149216816,9.605537415,0.0005326322280000001,0.00266316114,-0.0005326322280000001,onTable
21,0.038307227189999994,-0.1292868853,9.605537415,0.0021305289120000003,0.0,0.001597896684,onTable
22,0.02394201607,-0.1101332754,9.615114212,0.0010652644560000001,-0.0010652644560000001,-0.0021305289120000003,onTable
